X,Quarters,Performance,Weights,Earnings.per.Share,Price.to.Sales,Operating.Margins,Price.to.Book,ROE,ROA,Dividend.Yield,EPS.Growth,Earnings.Yield,PE,Debt.to.Equity,Book.Value.Per.Share,Net.Debt.to.EBITDA,Current.Ratio,Profit.Margin,Total.Debt.to.Total.Asset,Return.on.Capital,FCF.to.Basic.Share,Tangible.Book.value.per.Share
EMPERADOR INC,6/30/21,0,0,0.14,4.92,22.47,3.94,18.77,25125.31,3.73,-13.77,4.57,29.92,45.52,4.49,1.75,2.53,16.7,25.98,9.75,0.21,2.62
EMPERADOR INC,9/30/21,0,0,0.17,5.89,20.64,4.21,18.96,16597.3,3.73,27.05,4.15,33.13,32.95,4.94,1.09,2.76,15.43,20.18,10.39,0.3,3.07
EMPERADOR INC,12/31/21,0,0,0.13,3.95,21.38,2.74,18.6,13982.01,3.92,0,6.16,22.33,33.32,5.11,0.91,2.73,17.01,20.29,10.24,0.19,3.24
EMPERADOR INC,3/31/22,0,0,0.2,5.14,24.84,3.62,17.25,11834.11,1.86,5.42,4.34,29.83,29.63,5.26,0.81,2.69,19.97,18.46,10.48,0.06,3.4
EMPERADOR INC,6/30/22,1,0,0.12,5.06,17.58,3.53,16.27,11460.88,1.32,-10.22,4.18,30.83,27.58,5.45,0.8,2.88,13.35,17.61,10.13,0.03,3.57
EMPERADOR INC,12/29/22,0,0,0.15,4.94,19.7,3.64,14.93,10684.58,0.15,15.38,3.9,31.59,28.59,5.75,0.76,2.63,14.87,17.73,9.77,0.06,3.85
EMPERADOR INC,3/31/23,1,0,0.15,5.04,21.03,3.76,14.09,14889.32,1.51,-25,3.65,34.82,27.91,5.67,1.1,2.88,15.56,18.05,9.39,0.02,3.73
ENERGY DEVELOPMENT CORP,12/29/16,0,1.57,0.17,3.25,51.7,2.19,31.55,55504.66,10.44,0,13.62,11.34,130.14,2.75,2.62,1.22,32.1,50.13,11.44,0.22,2.53
ENERGY DEVELOPMENT CORP,3/31/17,1,1.48,0.08,3.24,40.54,2.14,30.43,56671.95,10.44,-10.99,13.5,11.61,123.34,2.83,2.68,1.53,18.8,50.07,11.07,0.06,2.61
FIRST GEN CORPORATION,12/29/16,0,0.68,0.01,0.96,32.88,0.94,30.52,2020.16,21.72,-35.71,32.93,6,125.92,0.44,2.89,1.48,9.63,50.02,7.87,0.04,0.16
FIRST GEN CORPORATION,3/31/17,0,0.64,0,0.84,26.76,0.85,30.54,2024.31,0.95,-78.43,36.66,6.32,134.74,0.44,2.88,1.86,3.93,52.11,6.84,0.01,0.16
FIRST GEN CORPORATION,6/28/19,1,0.82,0.02,0.8,22.63,0.87,30.13,1310.57,44.09,-8.1,32.55,6.08,80.59,0.55,1.7,1.66,10.76,39.74,11.15,0.04,0.27
FIRST GEN CORPORATION,12/27/19,0,0.8,0.02,0.55,29.05,0.55,26.37,1176.63,38.31,-19.05,45.25,4.4,72.02,0.59,1.56,1.36,13.53,36.6,10.67,0.05,0.31
FIRST GEN CORPORATION,3/31/20,1,1.02,0.04,0.89,27.52,0.82,24.27,1142,13.96,54.74,28.4,5.72,69.55,0.6,1.56,1.46,14.81,35.49,9.87,0.01,0.32
FIRST GEN CORPORATION,6/30/20,1,1.02,0.02,0.9,26.85,0.76,23.43,993.18,7,7.41,29.03,5.52,70.91,0.63,1.36,1.78,14.86,37.16,9.81,0.02,0.34
FIRST GEN CORPORATION,12/29/20,0,1.2,0.02,1.2,31.77,0.97,24.78,1017.26,12.6,35.29,24.73,6.49,63.57,0.64,1.31,1.73,17.4,34.22,10.58,0.08,0.35
FIRST GEN CORPORATION,3/31/21,1,1.12,0.04,1.12,21.12,0.95,24.06,917.01,9.86,14.29,24.75,6.1,63.76,0.64,1.19,1.51,10.94,33.59,10.19,0.04,0.36
FIRST GEN CORPORATION,6/30/21,0,1.25,0.02,1.14,22.2,1.03,23.91,845.96,13.8,10.72,23.24,6.49,61.83,0.64,1.09,1.58,12.13,33.29,10.05,0.02,0.37
FIRST GEN CORPORATION,9/30/21,1,0.99,0.01,0.89,15.66,0.83,20.65,883.91,13.83,-43.53,25,5.86,58.4,0.65,1.25,1.46,7.99,31.55,8.79,-0.01,0.38
FIRST GEN CORPORATION,12/31/21,0,0.91,0.02,0.81,21.28,0.77,19.29,877.01,1.88,-26.09,24.9,5.85,57.97,0.67,1.3,1.63,11,31.68,8.08,0,0.4
FIRST GEN CORPORATION,3/31/22,0,0.69,0.03,0.46,17.4,0.48,19.54,729.11,8.22,-17.5,41.27,3.84,58.02,0.65,1.08,1.63,8.47,30.93,8.13,0.06,0.4
FIRST GEN CORPORATION,6/30/22,0,0.7,0.02,0.39,20.19,0.45,21.15,769.4,10.38,0.21,47.99,3.46,59.41,0.61,1.11,1.71,9.05,31.9,8.39,0.01,0.38
FIRST GEN CORPORATION,12/29/22,0,0.62,0.03,0.4,26.7,0.45,24.13,542.9,18.74,47.06,53.25,3.16,52,0.68,0.68,1.74,13.68,28.98,10.15,0.08,0.43
FIRST GEN CORPORATION,3/31/23,0,0.7,0.05,0.45,24.21,0.49,25.65,546.38,21.55,39.39,50.82,3.08,50.35,0.69,0.65,1.71,12.16,28.52,11.3,0,0.44
GLOBE TELECOM INC,12/29/16,0,1.66,26.89,2.11,20.51,4.32,43.51,99872.78,-9.12,-13.51,9.8,18.28,168.22,462.39,1.98,0.64,11.45,42.78,11.9,26.75,348.14
GLOBE TELECOM INC,3/31/17,1,1.73,30.94,2.09,20.94,4.29,42.3,114061.74,-8.22,-6.79,9.64,18.81,189.41,469.54,2.21,0.64,12.84,46.82,10.65,-16.23,352.93
GLOBE TELECOM INC,6/28/19,1,1.58,40.59,1.49,24.17,3.07,53.63,123645.98,6.06,17.29,16.21,11.61,166.49,586.74,1.7,0.73,13.45,44.99,12.35,39.6,482.71
GLOBE TELECOM INC,12/27/19,1,2.4,47.56,1.54,27.99,3.11,51.2,133995.31,3.23,-2.42,15.71,11.93,175.57,610.49,1.78,0.79,15.98,46.68,11.68,10.51,493.65
GLOBE TELECOM INC,3/31/20,1,2.22,35.16,1.68,22.44,3.32,48.32,139354.32,2.2,-8.05,14.05,13.05,180.84,614.26,1.88,0.81,13.03,47.44,11.41,-10.19,499.69
GLOBE TELECOM INC,6/30/20,0,2.35,31.35,1.7,21.18,3.29,45.46,135314.93,-6.83,-22.76,13.44,13.94,194.32,622.89,1.85,1.1,10.76,48.84,10.48,53.87,499.26
GLOBE TELECOM INC,12/29/20,0,1.93,52.83,1.55,21.01,2.92,35.7,158948.83,-3.89,11.07,12,13.39,197.27,633.22,2.41,0.76,17.05,49.14,9.8,-31.54,502.77
GLOBE TELECOM INC,3/31/21,1,1.77,40.77,1.48,23.06,2.84,36.73,174723.25,-7.55,15.98,12.71,12.59,213.34,638.37,2.58,0.62,13.67,50.43,9.76,-63.31,502.56
GLOBE TELECOM INC,6/30/21,0,2.84,36.08,2.39,21.04,5.11,38.59,208770.18,-3.42,15.1,7.87,19.77,276.3,574.99,3.01,0.48,11.77,53.25,9.42,-61.1,431.01
GLOBE TELECOM INC,9/30/21,1,3.06,40.72,2.63,11.16,3.95,33.24,205693.72,-12.11,115.83,7.23,19.18,201,827.03,2.81,0.56,13.59,50.15,9.96,-103.11,674.15
GLOBE TELECOM INC,12/31/21,1,2.27,100,2.01,18.81,2.78,30.07,225749.27,-16.58,89.29,9.22,11.49,193.55,899.94,3.04,0.57,31.33,49.96,11.57,-82.4,727.13
